setting,seed,rep_index,model,n,p,sigma_a,sigma_e,beta_preset,alpha,k,true_k,lam,snr,algo_a,algo_b,mse_cocolasso_max,mse_reweighted_frobenius,pe_cocolasso_max,pe_reweighted_frobenius,time_cocolasso_max,time_reweighted_frobenius,mse_diff,pe_diff,time_diff,speedup,noise_level,sparsity
ar_sigma0.75_datta_zhang,0,0,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,6.418870852277907,6.407247974638497,7.1914263918294825,7.313472485117251,15.183548683999106,1.28917356999591,0.011622877639410056,-0.12204609328776872,13.894375114003196,11.777738108645275,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,1,1,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,3.356332585962664,3.474447863515857,4.450401604755094,4.608864304575216,15.132628263090735,1.6151470570475794,-0.11811527755319329,-0.15846269982012195,13.517481206043156,9.369195329342048,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,2,2,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,8.098626261863322,8.713353117258423,10.397503655509082,11.058605226643762,15.226692261989228,1.496134767017793,-0.6147268553951015,-0.6611015711346795,13.730557494971436,10.177353402688585,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,3,3,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,3.021594625796546,2.899084672024417,3.3897954536032757,3.3698631610996177,15.221440635970794,1.5447140160249546,0.12250995377212881,0.019932292503658022,13.676726619945839,9.85388911996827,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,4,4,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,6.018536348278891,5.902067482720133,7.825041853729873,7.702026177710376,15.27379694301635,1.844097840017639,0.11646886555875824,0.12301567601949692,13.429699102998711,8.282530683334162,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,5,5,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.617626361284503,4.660588670772471,4.979578709944181,5.00117205081673,15.170895808027126,1.6298591289669275,-0.042962309487967865,-0.02159334087254905,13.541036679060198,9.30810248468717,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,6,6,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,2.822767952370786,3.0527799578120693,3.0061809720230057,3.238811562662121,15.235461644013412,1.57851776300231,-0.2300120054412833,-0.2326305906391153,13.656943881011102,9.651751789625644,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,7,7,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,8.47870903096975,8.483527649763175,7.742840586997604,7.818829033810546,15.325861712917686,1.4590680559631437,-0.0048186187934256,-0.07598844681294281,13.866793656954542,10.503870364567025,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,8,8,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,5.997804455297196,5.924224459048595,6.325307166687258,6.351557277128744,15.27740707306657,1.5277675130055286,0.07357999624860057,-0.026250110441485397,13.749639560061041,9.999824543337626,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,9,9,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,5.408788627859263,5.511834946821901,7.806952069869132,7.984935342430028,15.305248857010156,1.581222343025729,-0.1030463189626385,-0.17798327256089586,13.724026513984427,9.679378061230137,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,10,10,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,2.746133708842752,2.6098216641566734,3.460629672012911,3.300984705761459,15.32098911399953,1.5773629819741473,0.1363120446860786,0.15964496625145186,13.743626132025383,9.713039604127491,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,11,11,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.052264612614774,4.137153126178483,5.708030413016102,5.8383996761545625,15.340859854011796,1.8239456109586167,-0.08488851356370919,-0.1303692631384603,13.51691424305318,8.410809928673835,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,12,12,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,3.2096851381858027,2.96289625526164,3.610278073381052,3.45970599991852,15.408854246023113,1.657664074038621,0.24678888292416268,0.15057207346253199,13.751190171984492,9.295522830800103,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,13,13,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,6.555119323255595,6.506577756740832,7.904067224555053,7.854712212314837,15.359112820005976,1.854558849998284,0.04854156651476327,0.04935501224021621,13.504553970007692,8.281814739942163,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,14,14,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.211255303050479,4.252365343229273,5.872046015230915,5.934751124475595,15.350411813007668,1.7249675610219128,-0.04111004017879338,-0.06270510924467931,13.625444251985755,8.89895680352024,low,datta_zhang (exactly 3-sparse)
