setting,seed,rep_index,model,n,p,sigma_a,sigma_e,beta_preset,alpha,k,true_k,lam,snr,algo_a,algo_b,mse_cocolasso_max,mse_reweighted_max,pe_cocolasso_max,pe_reweighted_max,time_cocolasso_max,time_reweighted_max,mse_diff,pe_diff,time_diff,speedup,noise_level,sparsity
ar_sigma0.75_datta_zhang,0,0,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,6.418870852277907,5.935366777612487,7.1914263918294825,6.473746501630656,15.183548683999106,168.84823392995168,0.48350407466541956,0.7176798901988262,-153.66468524595257,0.089924237468176,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,1,1,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,3.356332585962664,2.093729104905025,4.450401604755094,2.774866525679427,15.132628263090735,218.1633951920085,1.262603481057639,1.6755350790756673,-203.03076692891776,0.06936373652313353,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,2,2,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,8.098626261863322,5.468953320506459,10.397503655509082,6.993375438223292,15.226692261989228,200.95171804598067,2.629672941356863,3.4041282172857903,-185.72502578399144,0.07577288917980358,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,3,3,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,3.021594625796546,2.096070572998931,3.3897954536032757,2.0056645234321984,15.221440635970794,203.611858085962,0.925524052797615,1.3841309301710774,-188.39041744999122,0.07475714223650236,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,4,4,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,6.018536348278891,5.524703111861543,7.825041853729873,6.884833594258591,15.27379694301635,203.20967598306012,0.49383323641734833,0.940208259471282,-187.93587904004377,0.07516274443688202,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,5,5,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,4.617626361284503,4.209433735478197,4.979578709944181,4.247592390654448,15.170895808027126,235.72802062006667,0.408192625806306,0.7319863192897325,-220.55712481203955,0.06435762608162197,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,6,6,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,2.822767952370786,1.5942668783897351,3.0061809720230057,1.4310670180426863,15.235461644013412,218.45146776293404,1.228501073981051,1.5751139539803194,-203.21600611892063,0.06974300424727338,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,7,7,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,8.47870903096975,8.682232065282214,7.742840586997604,6.780426393124486,15.325861712917686,203.49500864301808,-0.20352303431246455,0.9624141938731174,-188.1691469301004,0.07531320701729416,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,8,8,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,5.997804455297196,5.028164741649312,6.325307166687258,5.005085243127459,15.27740707306657,184.06693459895905,0.9696397136478838,1.3202219235597994,-168.78952752589248,0.08299919323561641,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,9,9,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,5.408788627859263,4.687156961375363,7.806952069869132,6.623647188253178,15.305248857010156,202.2274187220028,0.7216316664838995,1.1833048816159533,-186.92216986499264,0.07568335171231116,low,datta_zhang (exactly 3-sparse)
