file,algorithm,norm,rho,lam_requested,sigma_a,sigma_e,n,p,k,true_k,n_reps,median_mse,median_pe,median_topk,median_nnz,median_time_sec
ar_cocolasso_0820-0249.json,cocolasso,frobenius,,1.0,0.75,3.0,100,250,10,3,20,4.0379224149232265,5.096464823374036,1.0,10.5,0.02951568877324462
ar_cocolasso_0820-0234.json,cocolasso,frobenius,,cv,1.0,3.0,100,250,10,3,20,7.3505376729098195,8.412015743980103,0.0,22.0,186.60090140349348
ar_cocolasso_0820-0249_2.json,cocolasso,frobenius,,1.0,1.0,3.0,100,250,10,3,20,5.760902303598784,7.324086616710464,0.5,17.0,0.03443931136280298
ar_cocolasso_0820-0249_3.json,cocolasso,frobenius,,1.0,1.25,3.0,100,250,10,3,20,7.727956823225565,9.72216095370985,0.0,23.0,0.04227044153958559
ar_cocolasso_0820-0250_3.json,cocolasso,max,,1.0,0.75,3.0,100,250,10,3,20,2.891596679810996,3.4513330848775334,1.0,10.0,3.5312451805075398
ar_cocolasso_0820-0250.json,cocolasso,max,,1.0,1.0,3.0,100,250,10,3,20,4.480499580794087,4.976411869644288,0.5,16.5,2.787139202468097
ar_cocolasso_0820-0250_2.json,cocolasso,max,,1.0,1.25,3.0,100,250,10,3,20,6.856148242127771,8.455957292887206,0.0,21.5,3.1542002339847386
ar_cocolasso_refit_0820-0249.json,cocolasso_refit,frobenius,,1.0,0.75,3.0,100,250,10,3,20,5.14357106688459,5.35218530501675,0.0,10.0,0.0306826401501894
ar_cocolasso_refit_0820-0249_2.json,cocolasso_refit,frobenius,,1.0,1.0,3.0,100,250,10,3,20,7.929248446563484,8.051953809013819,0.0,10.0,0.03476705960929394
ar_cocolasso_refit_0820-0249_3.json,cocolasso_refit,frobenius,,1.0,1.25,3.0,100,250,10,3,20,10.421539321829902,10.45337295131175,0.0,10.0,0.038120833691209555
ar_cocolasso_refit_0820-0250_2.json,cocolasso_refit,max,,1.0,0.75,3.0,100,250,10,3,20,7.465945547959869,7.882934305783273,0.0,10.0,2.9195369598455727
ar_cocolasso_refit_0820-0250_3.json,cocolasso_refit,max,,1.0,1.0,3.0,100,250,10,3,20,14.705406316946046,13.505502473081062,0.0,10.0,2.9580594250001013
ar_cocolasso_refit_0820-0250.json,cocolasso_refit,max,,1.0,1.25,3.0,100,250,10,3,20,15.688012785371672,15.01589316143486,0.0,10.0,2.780188680626452
ar_naive_0820-0249.json,naive,frobenius,,1.0,0.75,3.0,100,250,10,3,20,6.29699134171398,6.974534296581787,0.0,10.0,0.0005063512362539768
ar_naive_0820-0249_2.json,naive,frobenius,,1.0,1.0,3.0,100,250,10,3,20,44717380526.64544,37400116871.83458,0.0,10.0,0.0031485524959862232
ar_naive_0820-0249_3.json,naive,frobenius,,1.0,1.25,3.0,100,250,10,3,20,246759540499.23285,206316427759.5169,0.0,10.0,0.014887936413288116
