setting,arm,rep_index,seed,model,n,p,sigma_a,sigma_e,beta_preset,alpha,lam_requested,algorithm,norm,k,true_k,snr,mse,pe,topk,nnz,time,lam,algo_rho,algo_gamma_rule,algo_gamma1,algo_growth,algo_f_tol,algo_min_iter,algo_max_iter,algo_weight_clip,algo_admm_rho,algo_admm_max_iter,algo_psd_floor,algo_ridge,algo_refit_thresh,n_reps_in_file,homotopy_iters_last,runtime_sec_file,source_file
ar_sigma0.75_datta_zhang,cocolasso_frobenius,0,0,ar,100,500,0.75,3.0,datta_zhang,1.0,1.0,cocolasso,frobenius,10,3,2.361111111111111,6.743339225970346,7.738426477457083,0.0,17.0,0.22456611099187285,1.0,,,,,,,,,1.0,300,1e-06,,,100,,19.134780930005945,ar_sigma0.75_datta_zhang/cocolasso_frobenius.json
ar_sigma0.75_datta_zhang,cocolasso_frobenius,1,1,ar,100,500,0.75,3.0,datta_zhang,1.0,1.0,cocolasso,frobenius,10,3,2.361111111111111,4.088781997912496,5.37831555850442,1.0,15.0,0.17099714395590127,1.0,,,,,,,,,1.0,300,1e-06,,,100,,19.134780930005945,ar_sigma0.75_datta_zhang/cocolasso_frobenius.json
ar_sigma0.75_datta_zhang,cocolasso_frobenius,2,2,ar,100,500,0.75,3.0,datta_zhang,1.0,1.0,cocolasso,frobenius,10,3,2.361111111111111,9.133461217455523,11.744763053063618,1.0,12.0,0.18168886902276427,1.0,,,,,,,,,1.0,300,1e-06,,,100,,19.134780930005945,ar_sigma0.75_datta_zhang/cocolasso_frobenius.json
ar_sigma0.75_datta_zhang,cocolasso_frobenius,3,3,ar,100,500,0.75,3.0,datta_zhang,1.0,1.0,cocolasso,frobenius,10,3,2.361111111111111,3.4513523364482297,4.119841583337815,1.0,15.0,0.16835939802695066,1.0,,,,,,,,,1.0,300,1e-06,,,100,,19.134780930005945,ar_sigma0.75_datta_zhang/cocolasso_frobenius.json
ar_sigma0.75_datta_zhang,cocolasso_frobenius,4,4,ar,100,500,0.75,3.0,datta_zhang,1.0,1.0,cocolasso,frobenius,10,3,2.361111111111111,6.313881634826948,8.356762928923395,0.0,21.0,0.2273616719758138,1.0,,,,,,,,,1.0,300,1e-06,,,100,,19.134780930005945,ar_sigma0.75_datta_zhang/cocolasso_frobenius.json
ar_sigma0.75_datta_zhang,cocolasso_frobenius,5,5,ar,100,500,0.75,3.0,datta_zhang,1.0,1.0,cocolasso,frobenius,10,3,2.361111111111111,4.932191211803692,5.4541687880144405,0.0,12.0,0.1705063380068168,1.0,,,,,,,,,1.0,300,1e-06,,,100,,19.134780930005945,ar_sigma0.75_datta_zhang/cocolasso_frobenius.json
ar_sigma0.75_datta_zhang,cocolasso_frobenius,6,6,ar,100,500,0.75,3.0,datta_zhang,1.0,1.0,cocolasso,frobenius,10,3,2.361111111111111,3.5989767441270017,4.013806744692512,1.0,15.0,0.16515011398587376,1.0,,,,,,,,,1.0,300,1e-06,,,100,,19.134780930005945,ar_sigma0.75_datta_zhang/cocolasso_frobenius.json
ar_sigma0.75_datta_zhang,cocolasso_frobenius,7,7,ar,100,500,0.75,3.0,datta_zhang,1.0,1.0,cocolasso,frobenius,10,3,2.361111111111111,8.671994162469101,8.401764792252543,0.0,15.0,0.16584532405249774,1.0,,,,,,,,,1.0,300,1e-06,,,100,,19.134780930005945,ar_sigma0.75_datta_zhang/cocolasso_frobenius.json
ar_sigma0.75_datta_zhang,cocolasso_frobenius,8,8,ar,100,500,0.75,3.0,datta_zhang,1.0,1.0,cocolasso,frobenius,10,3,2.361111111111111,6.404533591832586,6.972459782604288,1.0,15.0,0.16529291402548552,1.0,,,,,,,,,1.0,300,1e-06,,,100,,19.134780930005945,ar_sigma0.75_datta_zhang/cocolasso_frobenius.json
ar_sigma0.75_datta_zhang,cocolasso_frobenius,9,9,ar,100,500,0.75,3.0,datta_zhang,1.0,1.0,cocolasso,frobenius,10,3,2.361111111111111,5.77881220965551,8.383013130161048,0.0,16.0,0.17145656910724938,1.0,,,,,,,,,1.0,300,1e-06,,,100,,19.134780930005945,ar_sigma0.75_datta_zhang/cocolasso_frobenius.json
